0.561329522700649 (99.91996797437437, -2.0)
0.2205125073849786 (100.0, 0.0)
0.5501345364647953 (99.91996797437437, 2.0)
0.4820693940561695 (96.0, 14.000000000000002)
0.16685913930170804 (98.71170143402453, 7.999999999999993)
None
None
None
None
None
None
0.21106923949943812 (72.0, -34.698703145794944)
0.47172115008292353 (10.000000000000014, 49.749371855331)
0.5388395369804367 (20.0, 48.98979485566356)
0.5151642830570629 (20.0, 48.98979485566356)
0.5147499943696827 (22.0, 48.774993593028796)
0.48991198049036766 (22.0, 48.774993593028796)
0.5862337873618805 (24.0, 48.53864439804639)
0.564549595136743 (24.0, 48.53864439804639)
0.5121986409787898 (76.0, -32.49615361854384)
0.5067618254590062 (26.0, 48.28043081829325)
0.5132718592483958 (26.0, 48.28043081829325)
0.528238935552815 (28.0, 48.0)
0.534487443058985 (28.0, 48.0)
0.4878094772284996 (69.39740629158989, -36.0)
0.32501730242273424 (70.0, -35.70714214271425)
0.5138314367522809 (30.0, 47.69696007084728)
0.5599242658482417 (32.0, 47.37087712930804)
0.4493384644565805 (32.0, 47.37087712930804)
0.5149657582258226 (72.0, -34.698703145794944)
0.5864969532008372 (73.32121111929342, -34.0)
0.2538252068892223 (26.0, 48.28043081829325)
0.27869868589883406 (74.0, -33.63034344160047)
0.46368589526647436 (28.0, 48.0)
0.5757579316797385 (84.0, -27.12931993250108)
0.4956832079143958 (38.0, 46.24932431938871)
0.06851525521548515 (76.0, -32.49615361854384)
0.45289674450509126 (40.0, 45.8257569495584)
0.45694289714819664 (32.0, 47.37087712930804)
0.44138711847088236 (86.0, -25.51470164434615)
0.317949172565264 (78.0, -31.28897569432403)
0.33987902976995454 (93.29523031752481, -18.0)
0.5162395810070275 (94.0, -17.058722109231987)
0.43756032460819755 (44.0, 44.8998886412873)
0.5889202566637672 (80.0, -29.999999999999993)
0.14459289336468847 (46.0, 44.39594576084623)
0.4823331773394945 (40.0, 45.8257569495584)
0.5362427355852176 (40.0, 45.8257569495584)
0.3396019223341433 (99.27738916792686, -6.0)
0.34359567369869237 (82.0, -28.618176042508374)
0.3200883125269738 (82.8492607088319, -28.0)
0.5347715522830241 (50.0, 43.30127018922193)
0.4156087661412278 (91.6515138991168, -20.0)
0.3514504619064023 (52.0, 42.708313008125245)
0.5546116028111838 (92.0, -19.595917942265423)
0.20572621702083052 (46.0, 44.39594576084623)
0.17380193172894 (85.41662601625049, -26.0)
0.4121432081899954 (93.29523031752481, -18.0)
0.14742562453583574 (56.0, 41.42463035441595)
0.13021810022331684 (94.0, -17.058722109231987)
0.5485689990412882 (58.0, 40.7308237088326)
0.584126377652837 (94.74175425861608, -16.0)
0.26029431653028207 (88.0, -23.748684174075834)
0.4715151905245065 (60.0, 40.0)
0.16065672983089893 (56.0, 41.42463035441595)
0.4340687516612949 (62.0, 39.23009049186606)
0.5329114462415591 (99.6794863550169, -4.0)
0.5097755725898012 (60.0, 40.0)
0.18269154655911982 (60.0, 40.0)
0.3280158942646825 (64.99230723708769, 38.0)
0.41578215117111983 (66.0, 37.5632799419859)
0.27423942936229323 (92.0, -19.595917942265423)
0.3221762770555869 (64.0, 38.4187454245971)
0.22287563951364364 (64.99230723708769, 38.0)
0.514891966094146 (93.29523031752481, -18.0)
0.40550703061710636 (70.0, 35.70714214271425)
0.06284567033842023 (94.0, -17.058722109231987)
0.5877894625208347 (99.27738916792686, -6.0)
0.4976390227850674 (72.0, 34.698703145794944)
0.3538141733333295 (73.32121111929342, 34.0)
0.5724966614669985 (74.0, 33.63034344160047)
0.3517682411270852 (96.0, -14.000000000000002)
0.5249869448691753 (96.0, -14.000000000000002)
0.4672920929778008 (76.0, 32.49615361854384)
0.3593734563922224 (76.8374908491942, 32.0)
0.19831006923668124 (78.0, 31.28897569432403)
0.5127564399945314 (80.0, 29.999999999999993)
0.3355754496087681 (80.0, 29.999999999999993)
0.33766518005844903 (98.0, -9.94987437106621)
0.45616356983673584 (82.0, 28.618176042508374)
0.2380121981054885 (98.71170143402453, -8.0)
0.48570741283595575 (86.0, 25.51470164434615)
0.4313869214464245 (99.27738916792686, -6.0)
0.2594311960787156 (85.41662601625049, 26.0)
0.5822350327998145 (99.6794863550169, -4.0)
0.27145370325740587 (99.6794863550169, -4.0)
None
0.35253074618666 (90.0, 21.794494717703365)
None
0.0823282609848577 (92.0, 19.595917942265423)
0.5885713064761872 (94.0, 17.058722109231987)
0.5878068408234215 (94.0, 17.058722109231987)
0.3528087069990951 (98.0, 9.94987437106621)
None
None
None
None
None
None
None
None
None
None
0.5752915153449869 (64.0, -38.4187454245971)
0.5459742763946763 (13.999999999999986, 49.50757517794626)
0.542674123014429 (66.0, -37.5632799419859)
0.396639787511687 (15.999999999999986, 49.35585071701227)
0.5660167144416837 (8.0, 49.83974317750845)
0.23065884625210195 (18.0, 49.18333050943175)
0.3231411428305162 (68.0, -36.66060555964671)
0.0851203676373546 (20.0, 48.98979485566356)
